Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Vehicle Number,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
434758,429113,1,1730,3,1,1,1,1,5,3,3,1,15
430245,433222,1,121,6,1,4,1,1,9,3,3,1,25
430433,437754,2,30,6,1,4,1,2,1,1,3,1,26
423016,437653,2,1440,3,1,1,1,1,9,1,3,1,89
430294,428129,1,1925,6,1,1,1,1,9,3,3,2,15
430868,434204,1,1940,6,1,4,1,1,9,3,2,1,22
427505,425503,1,2000,3,1,4,1,1,9,3,1,1,40
430954,435789,2,2310,6,1,7,1,2,8,2,3,1,48
436511,434029,3,1010,3,1,1,1,2,9,1,3,2,29
430801,435342,2,1209,6,1,1,1,2,1,1,2,1,22
426736,433318,2,1312,6,1,1,1,1,9,1,3,1,57
426736,433318,2,1312,6,1,1,1,1,9,2,3,2,25
431970,437047,2,1532,6,1,1,1,2,9,1,3,1,71
428098,436745,1,1545,6,1,1,1,1,8,3,3,2,29
415909,442020,3,1605,6,1,1,1,1,9,2,2,2,71
428719,435615,2,1704,3,1,1,1,1,9,1,3,2,19
428719,435615,2,1704,3,1,1,1,2,1,1,3,1,19
430878,434256,2,838,3,1,1,1,2,1,1,2,1,44
442527,442541,2,1140,6,1,1,1,2,3,1,2,1,25
427016,440295,2,1500,3,1,1,1,1,9,1,3,1,24
427016,440295,2,1500,3,1,1,1,2,9,1,1,2,80
425716,428493,2,1529,6,1,1,1,2,1,1,3,1,16
430188,431000,1,2004,6,1,4,1,1,9,3,2,1,10
437585,432318,1,31,6,1,6,1,1,9,1,3,2,24
437585,432318,1,31,6,1,6,1,1,9,2,2,2,25
430421,431782,2,854,1,1,1,1,1,9,1,3,1,36
430421,431782,2,854,1,1,1,1,2,9,1,3,2,56
433637,429795,1,1130,1,1,1,1,1,9,3,1,1,36
427506,426314,2,1535,1,1,1,1,1,9,1,3,1,20
433819,434044,2,1620,3,1,1,1,1,1,1,3,1,32
430900,430553,2,724,1,1,1,1,2,5,1,2,1,40
430519,424291,2,955,1,1,1,1,1,9,1,3,2,48
430519,424291,2,955,1,1,1,1,1,9,2,3,2,26
427519,434866,1,1350,6,1,1,1,1,11,3,3,1,23
428986,431151,3,1536,6,1,1,1,3,9,1,3,2,46
435094,434724,2,0,3,1,1,1,1,5,1,1,1,29
430234,435114,2,1634,6,1,1,1,2,3,1,3,1,18
435158,435027,2,1715,6,1,1,1,2,1,1,3,2,12
431619,426413,3,1825,1,1,4,1,2,9,2,3,2,22
431619,426413,3,1825,1,1,4,1,3,9,1,3,2,60
428994,435421,1,430,3,2,4,1,1,8,3,2,1,19
429886,432365,2,1040,3,1,1,1,2,9,2,3,2,78
430373,424207,1,1613,1,1,1,1,1,9,1,3,2,67
434067,435142,2,1800,6,2,4,2,1,9,1,3,2,37
434067,435142,2,1800,6,2,4,2,2,9,2,3,1,31
422029,434307,1,30,4,1,4,1,1,8,2,3,2,42
429917,438280,2,1930,6,2,4,2,2,1,1,3,1,23
427949,433624,2,2205,3,1,4,1,2,9,1,3,1,23
428654,434879,1,1214,6,2,1,2,1,4,1,2,1,21
435734,436024,2,1225,6,1,1,1,2,2,1,3,1,16
426270,435581,1,1515,4,2,1,1,1,8,2,3,1,22
426270,435581,1,1515,4,2,1,1,1,8,2,3,2,24
429769,437048,2,820,6,1,1,1,2,1,1,2,1,34
423827,437742,2,900,6,1,1,1,2,9,1,3,2,35
441096,433571,2,1100,6,1,1,1,1,9,1,2,1,61
441096,433571,2,1100,6,1,1,1,2,9,1,3,1,30
418304,441344,2,1600,3,1,1,1,1,9,1,3,1,25
429482,430242,1,1650,3,1,1,1,1,9,3,2,2,68
430538,431515,2,1736,1,1,1,1,1,9,1,3,1,41
430538,431515,2,1736,1,1,1,1,2,9,1,3,1,58
430491,435237,2,2120,3,1,4,1,1,9,1,3,2,26
430377,433554,1,320,6,2,4,2,1,9,2,3,2,30
440976,447851,2,645,2,1,1,1,1,9,1,2,1,49
440976,447851,2,645,2,1,1,1,1,9,2,3,1,27
440976,447851,2,645,2,1,1,1,1,9,2,3,1,63
440976,447851,2,645,2,1,1,1,1,9,2,3,1,27
440976,447851,2,645,2,1,1,1,1,9,2,3,1,48
440976,447851,2,645,2,1,1,1,2,9,1,2,1,33
440976,447851,2,645,2,1,1,1,2,9,2,3,1,32
440976,447851,2,645,2,1,1,1,2,9,2,3,1,26
440976,447851,2,645,2,1,1,1,2,9,2,3,1,41
435035,433250,2,1510,6,1,1,1,2,9,1,3,1,82
421874,435486,1,1700,6,1,1,1,1,9,3,3,1,51
432241,426277,2,2041,1,2,4,1,1,9,1,3,1,20
432241,426277,2,2041,1,2,4,1,1,9,2,3,1,19
427485,437002,1,2114,3,1,4,1,1,9,3,3,1,20
430596,434563,2,2150,6,1,4,1,2,1,1,3,1,19
429273,430096,2,700,6,2,1,2,2,1,1,2,1,31
426975,431791,2,745,3,1,1,1,1,1,1,3,1,51
429773,433632,1,1610,6,1,1,1,1,8,3,3,2,26
429773,427933,2,625,6,2,1,1,2,3,1,3,1,41
428520,426431,3,938,2,1,1,1,2,9,1,3,2,54
419569,441597,2,1145,3,1,1,1,2,9,2,3,1,92
419569,441597,2,1145,3,1,1,1,2,9,1,3,2,62
429849,438428,2,1540,6,2,1,2,2,9,1,3,1,36
427558,424520,2,2219,6,2,4,2,2,9,1,3,1,28
427558,424520,2,2219,6,2,4,2,2,9,2,3,1,37
424243,432741,1,111,4,2,4,1,1,9,2,3,2,17
424243,432741,1,111,4,2,4,1,1,9,2,3,2,17
428098,434516,2,950,6,2,1,5,2,9,1,3,2,29
429369,431984,2,1239,1,1,1,1,1,9,1,3,1,29
429369,431984,2,1239,1,1,1,1,1,9,2,3,2,28
429369,431984,2,1239,1,1,1,1,1,9,2,3,1,9
430325,425098,3,1337,3,1,1,1,1,9,1,3,2,27
430325,425098,3,1337,3,1,1,1,2,9,1,3,2,55
430325,425098,3,1337,3,1,1,1,3,9,1,3,2,58
424352,427938,2,1817,1,1,4,1,2,9,1,3,2,29
424352,427938,2,1817,1,1,4,1,2,9,2,3,2,25
426793,432962,1,530,6,2,4,2,1,9,2,2,1,24
426793,432962,1,530,6,2,4,2,1,9,2,2,2,18
424681,438797,1,1945,6,2,4,2,1,9,3,3,1,34
436933,436354,2,2045,6,2,4,6,1,3,1,3,1,17
428588,434755,1,1053,6,1,1,1,1,9,3,3,2,75
426860,440084,1,1745,6,1,4,1,1,9,3,2,2,84
433585,435757,2,1640,6,1,1,1,2,9,2,3,2,6
425056,433371,2,720,4,2,1,2,2,9,1,3,1,21
431797,431381,2,1330,3,2,1,2,2,2,1,3,2,26
430646,434664,2,1355,3,1,1,1,1,9,2,3,2,25
428476,425844,2,1650,3,1,7,1,2,9,1,3,2,53
425430,440289,3,1315,6,2,1,5,1,5,1,2,1,21
430740,434684,1,1702,6,2,1,4,1,11,3,3,1,28
434620,441231,2,748,6,2,1,4,1,9,1,3,2,19
434620,441231,2,748,6,2,1,4,2,19,1,3,1,36
432063,427598,2,1425,1,2,1,4,2,9,1,3,1,69
428301,434132,3,1700,3,1,1,1,3,9,1,3,1,25
423163,434663,1,1845,3,1,4,1,1,9,1,3,1,24
429862,426401,3,1919,1,2,4,5,2,19,1,3,1,52
431144,436258,2,715,6,1,1,1,2,9,1,3,1,51
431520,426436,2,910,1,1,1,1,2,9,1,3,1,34
425374,435317,2,1130,6,1,1,4,2,1,1,3,1,21
432635,428506,3,1700,3,1,1,4,2,9,1,3,1,51
428522,435686,2,851,6,2,1,1,2,1,1,3,2,26
436149,434890,2,1138,3,1,1,1,2,9,2,3,1,24
429617,433434,1,1209,6,1,1,1,1,19,3,3,2,54
424993,432939,1,745,6,1,1,4,1,9,3,3,2,12
424121,428200,2,1655,3,2,1,4,1,9,2,3,1,8
428859,430974,2,1256,5,2,1,5,1,9,2,3,1,28
429719,433500,1,1130,6,1,1,1,1,8,3,3,2,26
420081,435349,2,1540,6,2,1,5,2,9,1,3,2,37
429653,432931,2,2200,6,1,7,1,2,8,2,3,1,50
431482,435007,2,930,6,1,1,1,1,9,1,3,2,29
419473,445032,2,1646,3,1,1,1,2,1,1,3,2,34
428403,435451,2,1736,6,1,1,1,2,1,1,3,1,36
432075,426273,2,1003,1,1,1,1,1,9,1,3,1,62
425967,429204,3,731,1,1,1,1,2,9,1,3,1,24
421516,433599,2,750,6,1,1,1,2,1,1,2,1,35
428066,434831,1,730,6,1,1,1,1,9,3,3,1,10
438295,432225,2,750,6,1,1,1,2,9,1,3,1,36
438295,432225,2,750,6,1,1,1,2,9,2,3,2,12
438295,432225,2,750,6,1,1,1,2,9,2,3,2,9
438295,432225,2,750,6,1,1,1,2,9,2,3,2,7
432891,430263,2,1345,4,1,1,1,2,9,2,3,2,45
431050,445636,1,1421,3,1,1,1,1,9,2,2,1,89
431050,445636,1,1421,3,1,1,1,1,9,1,3,1,61
445228,431837,1,1625,2,1,1,1,1,9,1,2,2,20
445228,431837,1,1625,2,1,1,1,1,9,2,2,1,20
426034,428248,2,1725,6,1,1,1,1,1,1,3,1,14
427966,433620,2,750,3,1,1,1,2,1,1,3,1,30
426822,434974,2,1308,3,1,1,1,1,9,1,3,2,62
426822,434974,2,1308,3,1,1,1,1,9,2,3,1,95
426302,431692,1,1720,3,1,1,1,1,9,3,2,2,23
422303,427958,2,1941,3,1,4,1,1,9,1,2,1,24
422303,427958,2,1941,3,1,4,1,1,9,2,2,1,50
422303,427958,2,1941,3,1,4,1,2,9,1,3,1,37
434260,434309,2,1232,3,1,1,1,2,3,1,1,1,68
432338,434973,2,840,4,1,1,1,2,9,1,3,2,29
430892,433487,2,1652,6,1,1,1,2,1,1,3,1,58
425303,428867,1,111,4,1,5,1,1,3,1,1,1,22
432235,426269,2,1234,1,1,1,1,2,11,2,2,2,53
430764,438435,2,1345,6,1,1,1,2,9,1,3,2,28
430764,438435,2,1345,6,1,1,1,2,9,2,3,2,31
430764,438435,2,1345,6,1,1,1,2,9,2,3,2,18
430764,438435,2,1345,6,1,1,1,2,9,2,3,2,7
430764,438435,2,1345,6,1,1,1,2,9,2,3,2,2
